epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
77,7416.38,0.80574,0.72615,1.20608,0.93102,0.88786,0.93776,0.80278,0.58811,0.45041,1.02862,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476
78,7511.79,0.79647,0.70171,1.19713,0.93613,0.88242,0.93747,0.80216,0.58673,0.45019,1.02644,0.007131,0.002377,0.007131,0.002377,0.007131,0.002377,0.007131,0.002377
79,7607.39,0.7988,0.70859,1.20028,0.93194,0.88404,0.93712,0.80153,0.58908,0.45034,1.02684,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278
80,7703.11,0.79867,0.71455,1.2021,0.93522,0.883,0.93699,0.80184,0.5865,0.44885,1.02569,0.006537,0.002179,0.006537,0.002179,0.006537,0.002179,0.006537,0.002179
81,7798.72,0.78778,0.69903,1.19311,0.93786,0.88009,0.93835,0.80308,0.58591,0.44848,1.0249,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208
82,7894.32,0.78214,0.68986,1.18959,0.94073,0.87828,0.93871,0.80507,0.58409,0.44783,1.02443,0.005943,0.001981,0.005943,0.001981,0.005943,0.001981,0.005943,0.001981
83,7989.91,0.78481,0.68683,1.19071,0.93248,0.88516,0.93888,0.80571,0.58304,0.44624,1.02346,0.005646,0.001882,0.005646,0.001882,0.005646,0.001882,0.005646,0.001882
84,8085.73,0.78364,0.68609,1.1904,0.9341,0.88432,0.93848,0.80576,0.5813,0.44681,1.02208,0.005349,0.001783,0.005349,0.001783,0.005349,0.001783,0.005349,0.001783
85,8181.29,0.78186,0.68808,1.19164,0.93422,0.88408,0.93868,0.80578,0.58034,0.44747,1.02207,0.005052,0.001684,0.005052,0.001684,0.005052,0.001684,0.005052,0.001684
86,8297.99,0.77801,0.68452,1.18621,0.93352,0.88605,0.93866,0.80658,0.57936,0.44722,1.02219,0.004755,0.001585,0.004755,0.001585,0.004755,0.001585,0.004755,0.001585
87,8438.49,0.7758,0.68253,1.18917,0.93258,0.89022,0.93935,0.80677,0.57949,0.44809,1.02188,0.004458,0.001486,0.004458,0.001486,0.004458,0.001486,0.004458,0.001486
88,8575.71,0.76748,0.66872,1.1801,0.93129,0.89122,0.93951,0.80686,0.57905,0.44673,1.02181,0.004161,0.001387,0.004161,0.001387,0.004161,0.001387,0.004161,0.001387
89,8712.78,0.76741,0.67217,1.18443,0.9314,0.89182,0.93941,0.80694,0.57854,0.44571,1.02213,0.003864,0.001288,0.003864,0.001288,0.003864,0.001288,0.003864,0.001288
90,8849.72,0.76537,0.67211,1.17987,0.93277,0.89109,0.93892,0.80681,0.57767,0.44525,1.02192,0.003567,0.001189,0.003567,0.001189,0.003567,0.001189,0.003567,0.001189
91,9017.13,0.56712,0.38547,1.06975,0.93685,0.88914,0.93897,0.80686,0.57649,0.44533,1.0211,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109
92,9152.5,0.56015,0.36746,1.06598,0.93192,0.89152,0.93875,0.80728,0.57568,0.44404,1.02006,0.002973,0.000991,0.002973,0.000991,0.002973,0.000991,0.002973,0.000991
93,9290.3,0.5473,0.35768,1.05406,0.93087,0.89299,0.93906,0.80743,0.57484,0.44302,1.01945,0.002676,0.000892,0.002676,0.000892,0.002676,0.000892,0.002676,0.000892
94,9427.83,0.54445,0.35508,1.05248,0.93036,0.89354,0.93937,0.80782,0.57376,0.44093,1.01909,0.002379,0.000793,0.002379,0.000793,0.002379,0.000793,0.002379,0.000793
95,9570.28,0.5367,0.34623,1.04478,0.93134,0.89423,0.93997,0.80884,0.57305,0.43949,1.01861,0.002082,0.000694,0.002082,0.000694,0.002082,0.000694,0.002082,0.000694
96,9705.51,0.53536,0.34036,1.04156,0.92946,0.89295,0.9403,0.80989,0.57202,0.43856,1.01795,0.001785,0.000595,0.001785,0.000595,0.001785,0.000595,0.001785,0.000595
97,9842.39,0.5286,0.33891,1.04288,0.93096,0.89299,0.9406,0.81032,0.57098,0.43748,1.01723,0.001488,0.000496,0.001488,0.000496,0.001488,0.000496,0.001488,0.000496
98,9977.74,0.52351,0.3346,1.03568,0.93702,0.8862,0.94114,0.81108,0.57024,0.43705,1.01676,0.001191,0.000397,0.001191,0.000397,0.001191,0.000397,0.001191,0.000397
99,10113.2,0.50991,0.32375,1.02996,0.93502,0.88886,0.9413,0.81178,0.56991,0.43678,1.01615,0.000894,0.000298,0.000894,0.000298,0.000894,0.000298,0.000894,0.000298
100,10248.6,0.51318,0.32545,1.02781,0.93502,0.88913,0.94147,0.81237,0.56942,0.43644,1.01574,0.000597,0.000199,0.000597,0.000199,0.000597,0.000199,0.000597,0.000199
